Provinsi,Tahun,Produksi,Komoditas
KALIMANTAN TENGAH,2023,223.0,Kacang Tanah
KALIMANTAN TENGAH,2024,176.0,Kacang Tanah
KALIMANTAN TENGAH,2020,150.23,Kedelai
KALIMANTAN TENGAH,2021,31.97,Kedelai
KALIMANTAN TENGAH,2022,14.83,Kedelai
KALIMANTAN TENGAH,2023,181.0,Kedelai
KALIMANTAN TENGAH,2024,34.0,Kedelai
KALIMANTAN TENGAH,2020,457952.0,Padi
KALIMANTAN TENGAH,2021,381189.55,Padi
KALIMANTAN TENGAH,2022,343918.75,Padi
KALIMANTAN TENGAH,2023,330781.05,Padi
KALIMANTAN TENGAH,2024,366146.82,Padi
KALIMANTAN TIMUR,2020,10585.0,Jagung
KALIMANTAN TIMUR,2021,14555.0,Jagung
KALIMANTAN TIMUR,2022,17045.0,Jagung
KALIMANTAN TIMUR,2023,11228.0,Jagung
KALIMANTAN TIMUR,2024,3955.0,Jagung
KALIMANTAN TIMUR,2020,138.5,Kacang Hijau
KALIMANTAN TIMUR,2021,148.3,Kacang Hijau
KALIMANTAN TIMUR,2022,28.1,Kacang Hijau
KALIMANTAN TIMUR,2023,17.0,Kacang Hijau
KALIMANTAN TIMUR,2024,64.0,Kacang Hijau
KALIMANTAN TIMUR,2020,867.03,Kacang Tanah
KALIMANTAN TIMUR,2021,812.09,Kacang Tanah
KALIMANTAN TIMUR,2022,544.56,Kacang Tanah
KALIMANTAN TIMUR,2023,392.0,Kacang Tanah
KALIMANTAN TIMUR,2024,718.0,Kacang Tanah
KALIMANTAN TIMUR,2020,94.67,Kedelai
KALIMANTAN TIMUR,2021,114.52,Kedelai
KALIMANTAN TIMUR,2022,62.1,Kedelai
KALIMANTAN TIMUR,2023,31.0,Kedelai
KALIMANTAN TIMUR,2024,18.0,Kedelai
KALIMANTAN TIMUR,2020,262434.52,Padi
KALIMANTAN TIMUR,2021,244677.96,Padi
KALIMANTAN TIMUR,2022,239425.34,Padi
KALIMANTAN TIMUR,2023,226972.07,Padi
KALIMANTAN TIMUR,2024,249643.19,Padi
KALIMANTAN UTARA,2020,1169.0,Jagung
KALIMANTAN UTARA,2021,385.0,Jagung
KALIMANTAN UTARA,2022,860.0,Jagung
KALIMANTAN UTARA,2023,856.0,Jagung
KALIMANTAN UTARA,2024,1058.0,Jagung
KALIMANTAN UTARA,2020,15.2,Kacang Hijau
KALIMANTAN UTARA,2021,69.5,Kacang Hijau
KALIMANTAN UTARA,2022,1.3,Kacang Hijau
KALIMANTAN UTARA,2023,9.0,Kacang Hijau
KALIMANTAN UTARA,2024,4.0,Kacang Hijau
KALIMANTAN UTARA,2020,103.96,Kacang Tanah
KALIMANTAN UTARA,2021,124.32,Kacang Tanah
KALIMANTAN UTARA,2022,73.82,Kacang Tanah
KALIMANTAN UTARA,2023,76.0,Kacang Tanah
KALIMANTAN UTARA,2024,49.0,Kacang Tanah
KALIMANTAN UTARA,2020,1.44,Kedelai
KALIMANTAN UTARA,2021,4.63,Kedelai
KALIMANTAN UTARA,2022,0.0,Kedelai
KALIMANTAN UTARA,2023,200.0,Kedelai
KALIMANTAN UTARA,2024,0.0,Kedelai
KALIMANTAN UTARA,2020,33574.28,Padi
KALIMANTAN UTARA,2021,29967.31,Padi
KALIMANTAN UTARA,2022,30533.59,Padi
KALIMANTAN UTARA,2023,23602.11,Padi
KALIMANTAN UTARA,2024,30079.77,Padi
KEPULAUAN BANGKA BELITUNG,2020,127.0,Jagung
KEPULAUAN BANGKA BELITUNG,2021,349.0,Jagung
KEPULAUAN BANGKA BELITUNG,2022,258.0,Jagung
KEPULAUAN BANGKA BELITUNG,2023,111.0,Jagung
KEPULAUAN BANGKA BELITUNG,2024,0.0,Jagung
KEPULAUAN BANGKA BELITUNG,2020,0.0,Kacang Hijau
KEPULAUAN BANGKA BELITUNG,2021,0.0,Kacang Hijau
KEPULAUAN BANGKA BELITUNG,2022,0.3,Kacang Hijau
KEPULAUAN BANGKA BELITUNG,2023,0.0,Kacang Hijau
KEPULAUAN BANGKA BELITUNG,2024,0.0,Kacang Hijau
KEPULAUAN BANGKA BELITUNG,2020,183.2,Kacang Tanah
KEPULAUAN BANGKA BELITUNG,2021,230.35,Kacang Tanah
KEPULAUAN BANGKA BELITUNG,2022,244.82,Kacang Tanah
KEPULAUAN BANGKA BELITUNG,2023,222.0,Kacang Tanah
KEPULAUAN BANGKA BELITUNG,2024,190.0,Kacang Tanah
KEPULAUAN BANGKA BELITUNG,2020,0.0,Kedelai
KEPULAUAN BANGKA BELITUNG,2021,7.79,Kedelai
KEPULAUAN BANGKA BELITUNG,2022,4.53,Kedelai
KEPULAUAN BANGKA BELITUNG,2023,0.0,Kedelai
KEPULAUAN BANGKA BELITUNG,2024,0.0,Kedelai
KEPULAUAN BANGKA BELITUNG,2020,57324.32,Padi
KEPULAUAN BANGKA BELITUNG,2021,70496.25,Padi
KEPULAUAN BANGKA BELITUNG,2022,61425.07,Padi
KEPULAUAN BANGKA BELITUNG,2023,66468.89,Padi
KEPULAUAN BANGKA BELITUNG,2024,77489.79,Padi
KEPULAUAN RIAU,2020,15.2,Jagung
KEPULAUAN RIAU,2021,12.8,Jagung
KEPULAUAN RIAU,2022,12.6,Jagung
KEPULAUAN RIAU,2023,10.0,Jagung
KEPULAUAN RIAU,2024,12.0,Jagung
KEPULAUAN RIAU,2020,0.5,Kacang Hijau
KEPULAUAN RIAU,2021,0.0,Kacang Hijau
KEPULAUAN RIAU,2022,0.0,Kacang Hijau
KEPULAUAN RIAU,2023,0.0,Kacang Hijau
KEPULAUAN RIAU,2024,0.0,Kacang Hijau
KEPULAUAN RIAU,2020,66.29,Kacang Tanah
KEPULAUAN RIAU,2021,58.11,Kacang Tanah
KEPULAUAN RIAU,2022,38.01,Kacang Tanah
KEPULAUAN RIAU,2023,81.0,Kacang Tanah
KEPULAUAN RIAU,2024,55.0,Kacang Tanah
KEPULAUAN RIAU,2020,0.0,Kedelai
KEPULAUAN RIAU,2021,0.36,Kedelai
