year,province,avg_temperature,avg_humidity,total_precipitation,total_rainfall,total_et0,avg_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,avg_soil_moisture,city_count,total_hourly_records
2021,Jawa Timur,26.927586757990866,79.51808219178082,2425.2200000000003,2425.2200000000003,1494.8,0.3573764155251141,0.3551202511415525,0.3599631735159817,0.35748661339421617,5,43800
2021,Kalimantan Barat,25.958698630136986,89.37221461187214,2897.12,2897.12,1239.182,0.36093372146118724,0.36135776255707763,0.3624122374429224,0.3615679071537291,5,43800
2021,Kalimantan Selatan,25.922723744292238,88.5749086757991,3635.62,3635.62,1175.46,0.45601664383561646,0.4597177853881279,0.4579453881278539,0.4578932724505327,5,43800
2021,Kalimantan Tengah,26.271146118721465,88.50102739726029,3616.7400000000002,3616.7400000000002,1220.578,0.3779109817351598,0.37783632420091323,0.3729827853881279,0.37624336377473366,5,43800
2021,Kalimantan Timur,25.9757899543379,90.47333333333333,3766.4800000000005,3766.4800000000005,1216.944,0.4123652739726027,0.41342189497716897,0.4136895662100456,0.4131589117199391,5,43800
2021,Kalimantan Utara,26.190207762557076,89.98260273972603,4595.54,4595.54,1269.026,0.4305164155251141,0.4335167579908676,0.4356774429223744,0.43323687214611867,5,43800
2021,Kepulauan Bangka Belitung,26.667547945205477,85.49673515981735,2569.7,2569.7,1298.468,0.3385224200913242,0.33575584474885845,0.3321005479452055,0.33545960426179605,5,43800
2021,Kepulauan Riau,26.458961187214612,83.38034246575343,2544.2799999999997,2544.2799999999997,1376.41,0.29601874429223746,0.2994935388127854,0.29895246575342466,0.29815491628614915,5,43800
2021,Lampung,26.25253881278539,86.24,2835.7200000000003,2835.7200000000003,1287.072,0.4540977625570776,0.4551741780821918,0.4533136757990867,0.454195205479452,5,43800
2021,Maluku,26.248141552511413,86.9816894977169,3122.7,3122.7,1280.7620000000002,0.3322401141552511,0.3311985844748858,0.32403408675799084,0.3291575951293759,5,43800
2021,Maluku Utara,26.337390410958903,89.07559360730593,4079.4,4079.4,1293.746,0.3995372602739726,0.3978062557077625,0.3923065525114155,0.39655002283105023,5,43800
2021,Nusa Tenggara Barat,26.28158219178082,82.20397260273973,1998.8400000000001,1998.8400000000001,1425.27,0.3453266210045662,0.34563938356164386,0.3561886301369863,0.34905154490106544,5,43800
2021,Nusa Tenggara Timur,24.03057762557078,80.24671232876713,2113.1,2113.1,1473.4379999999999,0.28135977168949766,0.279117899543379,0.28305778538812787,0.28117848554033487,5,43800
2021,Papua,26.34370776255708,89.92219178082192,4954.4400000000005,4954.4400000000005,1260.9299999999998,0.4519434931506849,0.4542767808219178,0.4532771461187214,0.45316580669710804,5,43800
2021,Papua Barat,26.056497716894977,88.81929223744291,2854.1400000000003,2854.1400000000003,1243.464,0.4321709589041096,0.433857602739726,0.43225041095890415,0.4327596575342466,5,43800
2021,Papua Barat Daya,24.717796803652966,91.19744292237444,4758.280000000001,4758.280000000001,1239.27,0.42351335616438357,0.42709847031963466,0.42697815068493156,0.42586332572298324,5,43800
2021,Papua Pegunungan,19.482077625570774,87.71317351598174,5158.8,5158.8,1173.364,0.42742780821917814,0.42980244292237446,0.4295844063926941,0.4289382191780822,5,43800
2021,Papua Selatan,26.174078196347033,88.62488584474886,4161.0,4161.0,1209.1725000000001,0.4975858447488585,0.49856786529680364,0.4973869292237443,0.4978468797564688,4,35040
2021,Papua Tengah,20.903324200913243,90.69979452054795,3842.7,3842.7,1087.358,0.4089804566210045,0.41197840182648404,0.41138657534246575,0.4107818112633181,5,43800
2021,Riau,26.179171232876712,87.78817351598174,2938.7599999999998,2938.7599999999998,1283.1879999999999,0.4079315296803653,0.4084182191780822,0.40952872146118724,0.40862615677321157,5,43800
2021,Sulawesi Barat,25.111785388127856,87.62146118721462,3300.84,3300.84,1292.238,0.401684200913242,0.40076801369863013,0.3986257762557078,0.40035933028919324,5,43800
2021,Sulawesi Selatan,26.52864611872146,84.49863013698629,2601.66,2601.66,1369.81,0.4092157077625571,0.4093641552511416,0.4093953196347032,0.40932506088280063,5,43800
2021,Sulawesi Tengah,26.363283105022834,86.92495433789955,3325.2,3325.2,1306.046,0.40969406392694063,0.409067602739726,0.4050939726027397,0.40795187975646874,5,43800
2021,Sulawesi Tenggara,25.767705479452054,88.3803196347032,2716.12,2716.12,1296.932,0.38036655251141555,0.38024511415525114,0.37962659817351596,0.3800794216133942,5,43800
2021,Sulawesi Utara,25.355819634703195,87.93477168949771,3364.3199999999997,3364.3199999999997,1293.016,0.3808348173515982,0.3823150970319634,0.37674055365296805,0.3799634893455099,5,43800
2021,Sumatera Barat,23.698810502283106,87.55299086757991,3362.0,3362.0,1209.49,0.40677739726027395,0.40746527397260274,0.40517794520547945,0.4064735388127854,5,43800
2021,Sumatera Selatan,26.231936073059366,86.93424657534247,3182.84,3182.84,1264.926,0.46220127853881277,0.4648832648401827,0.46469641552511415,0.46392698630136986,5,43800
